
time;gFx;gFy;gFz;ax;ay;az;wx;wy;wz;Latitude;Longitude;Speed (m/s);
0,0870;-0,0851;0,0291;0,9997;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,00000000;0,00000000;0,00000000;
0,0870;-0,0851;0,0252;1,0012;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;32,06011576;34,79517875;0,00000000;
0,0880;-0,0832;0,0316;1,0022;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;32,06011576;34,79517875;0,00000000;
0,0880;-0,0827;0,0394;1,0012;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;32,06011576;34,79517875;0,00000000;
0,0880;-0,0822;0,0369;0,9968;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;32,06011576;34,79517875;0,00000000;
0,1070;-0,0822;0,0369;0,9968;0,0000;0,0000;0,0000;-0,0046;-0,0018;-0,0097;32,06011576;34,79517875;0,00000000;
0,1480;-0,0822;0,0369;0,9968;0,0000;0,0000;0,0000;0,0018;-0,0007;0,0042;32,06011576;34,79517875;0,00000000;
0,1490;-0,0822;0,0369;0,9968;0,0000;0,0000;-0,0000;0,0018;-0,0007;0,0042;32,06011576;34,79517875;0,00000000;
0,1760;-0,0842;0,0306;1,0007;0,0000;0,0000;-0,0000;0,0018;-0,0007;0,0042;32,06011576;34,79517875;0,00000000;
0,1780;-0,0861;0,0281;1,0002;0,0000;0,0000;-0,0000;0,0018;-0,0007;0,0042;32,06011576;34,79517875;0,00000000;
0,1790;-0,0866;0,0335;0,9988;0,0000;0,0000;-0,0000;0,0018;-0,0007;0,0042;32,06011576;34,79517875;0,00000000;
0,1810;-0,0827;0,0345;0,9988;0,0000;0,0000;-0,0000;0,0018;-0,0007;0,0042;32,06011576;34,79517875;0,00000000;
0,1890;-0,0827;0,0345;0,9988;0,0000;0,0000;-0,0000;0,0018;0,0014;0,0020;32,06011576;34,79517875;0,00000000;
0,1910;-0,0827;0,0345;0,9988;-0,0141;-0,0259;-0,0008;0,0018;0,0014;0,0020;32,06011576;34,79517875;0,00000000;
0,2280;-0,0827;0,0345;0,9988;-0,0141;-0,0259;-0,0008;0,0002;0,0014;-0,0012;32,06011576;34,79517875;0,00000000;
0,2290;-0,0827;0,0345;0,9988;0,0091;-0,0077;0,0027;0,0002;0,0014;-0,0012;32,06011576;34,79517875;0,00000000;
0,2640;-0,0822;0,0316;1,0022;0,0091;-0,0077;0,0027;0,0002;0,0014;-0,0012;32,06011576;34,79517875;0,00000000;
0,2660;-0,0837;0,0306;1,0002;0,0091;-0,0077;0,0027;0,0002;0,0014;-0,0012;32,06011576;34,79517875;0,00000000;
0,2670;-0,0832;0,0350;1,0002;0,0091;-0,0077;0,0027;0,0002;0,0014;-0,0012;32,06011576;34,79517875;0,00000000;
0,2680;-0,0856;0,0379;1,0017;0,0091;-0,0077;0,0027;0,0002;0,0014;-0,0012;32,06011576;34,79517875;0,00000000;
0,2690;-0,0856;0,0379;1,0017;0,0091;-0,0077;0,0027;-0,0003;-0,0002;-0,0001;32,06011576;34,79517875;0,00000000;
0,2700;-0,0856;0,0379;1,0017;0,0060;-0,0051;0,0018;-0,0003;-0,0002;-0,0001;32,06011576;34,79517875;0,00000000;
0,3070;-0,0856;0,0379;1,0017;0,0060;-0,0051;0,0018;0,0002;-0,0002;-0,0001;32,06011576;34,79517875;0,00000000;
0,3090;-0,0856;0,0379;1,0017;-0,0147;0,0201;0,0061;0,0002;-0,0002;-0,0001;32,06011576;34,79517875;0,00000000;
0,3470;-0,0856;0,0379;1,0017;-0,0147;0,0201;0,0061;-0,0003;-0,0007;-0,0001;32,06011576;34,79517875;0,00000000;
0,3490;-0,0856;0,0379;1,0017;-0,0112;0,0151;0,0046;-0,0003;-0,0007;-0,0001;32,06011576;34,79517875;0,00000000;
0,3510;-0,0876;0,0335;1,0012;-0,0112;0,0151;0,0046;-0,0003;-0,0007;-0,0001;32,06011576;34,79517875;0,00000000;
0,3530;-0,0881;0,0301;0,9997;-0,0112;0,0151;0,0046;-0,0003;-0,0007;-0,0001;32,06011576;34,79517875;0,00000000;
0,3550;-0,0881;0,0330;1,0002;-0,0112;0,0151;0,0046;-0,0003;-0,0007;-0,0001;32,06011576;34,79517875;0,00000000;
0,3560;-0,0861;0,0330;1,0041;-0,0112;0,0151;0,0046;-0,0003;-0,0007;-0,0001;32,06011576;34,79517875;0,00000000;
0,3580;-0,0851;0,0335;1,0012;-0,0112;0,0151;0,0046;-0,0003;-0,0007;-0,0001;32,06011576;34,79517875;0,00000000;
0,3890;-0,0851;0,0335;1,0012;-0,0112;0,0151;0,0046;0,0002;-0,0002;-0,0001;32,06011576;34,79517875;0,00000000;
0,3910;-0,0851;0,0335;1,0012;-0,0243;-0,0148;0,0062;0,0002;-0,0002;-0,0001;32,06011576;34,79517875;0,00000000;
0,4240;-0,0851;0,0335;1,0012;-0,0243;-0,0148;0,0062;0,0002;-0,0002;-0,0001;32,06011576;34,79517875;0,00000000;
0,4290;-0,0851;0,0335;1,0012;0,0063;-0,0031;0,0025;0,0002;-0,0002;-0,0001;32,06011576;34,79517875;0,00000000;
0,4310;-0,0846;0,0316;1,0012;0,0063;-0,0031;0,0025;0,0002;-0,0002;-0,0001;32,06011576;34,79517875;0,00000000;
0,4330;-0,0827;0,0345;1,0007;0,0063;-0,0031;0,0025;0,0002;-0,0002;-0,0001;32,06011576;34,79517875;0,00000000;
0,4350;-0,0817;0,0374;1,0002;0,0063;-0,0031;0,0025;0,0002;-0,0002;-0,0001;32,06011576;34,79517875;0,00000000;
0,4360;-0,0881;0,0379;1,0012;0,0063;-0,0031;0,0025;0,0002;-0,0002;-0,0001;32,06011576;34,79517875;0,00000000;
0,4650;-0,0881;0,0379;1,0012;0,0063;-0,0031;0,0025;0,0008;-0,0007;-0,0017;32,06011576;34,79517875;0,00000000;
0,4670;-0,0881;0,0379;1,0012;0,0050;-0,0028;0,0021;0,0008;-0,0007;-0,0017;32,06011576;34,79517875;0,00000000;
0,5030;-0,0881;0,0379;1,0012;0,0050;-0,0028;0,0021;0,0002;-0,0018;-0,0012;32,06011576;34,79517875;0,00000000;
0,5050;-0,0881;0,0379;1,0012;-0,0086;0,0168;-0,0024;0,0002;-0,0018;-0,0012;32,06011576;34,79517875;0,00000000;
0,5060;-0,0871;0,0311;1,0002;-0,0086;0,0168;-0,0024;0,0002;-0,0018;-0,0012;32,06011576;34,79517875;0,00000000;
0,5070;-0,0837;0,0316;1,0051;-0,0086;0,0168;-0,0024;0,0002;-0,0018;-0,0012;32,06011576;34,79517875;0,00000000;
0,5070;-0,0807;0,0316;1,0041;-0,0086;0,0168;-0,0024;0,0002;-0,0018;-0,0012;32,06011576;34,79517875;0,00000000;
0,5080;-0,0817;0,0345;1,0017;-0,0086;0,0168;-0,0024;0,0002;-0,0018;-0,0012;32,06011576;34,79517875;0,00000000;
0,5450;-0,0817;0,0345;1,0017;-0,0086;0,0168;-0,0024;0,0002;-0,0002;-0,0012;32,06011576;34,79517875;0,00000000;
0,5460;-0,0817;0,0345;1,0017;0,0232;-0,0105;0,0245;0,0002;-0,0002;-0,0012;32,06011576;34,79517875;0,00000000;
